형태소,빈도수
하려면,2
오셔야,2
줄이,2
고명,2
올라와서,2
안달,2
장안,2
은은한,2
충분한,2
했더니,2
다행히,2
지나치게,2
덕후,2
호평,2
경기,2
이른,2
방송,2
번쩍,2
드리고,2
없기에,2
아직,2
앉은,2
묻은,2
하셨다,2
냉장고,2
미를,2
강하게,2
부드러우면서,2
않으면,2
품질,2
봤어요,2
많았는데,2
독특하고,2
않구,2
나도,2
꼬숩,2
스타,2
어쩌다,2
즐기다,2
가요,2
먹지,2
적어,2
고려,2
진했다,2
조식,2
높고,2
라니,2
해봤는데,2
그리구,2
느껴져요,2
들어가있는,2
맛있더라고요,2
ㅠㅡㅠ,2
복작복작,2
하겠지만,2
ㅎㅎㅎㅎ,2
만족스러울,2
신선하고,2
무니,2
비싸다,2
생겼지만,2
직관,2
예뻤다,2
조그만,2
없었는데,2
유일하게,2
짧게,2
갔었는데,2
없었고,2
없었지만,2
이해,2
늦어,2
강하고,2
도심,2
넘치는,2
미남,2
미녀,2
보이기,2
하얗고,2
심장,2
앉고,2
카운터,2
싶었고,2
고르고,2
콜드,2
브루,2
괜찮았는데,2
신건,2
찐득한,2
싶어지는,2
두셔서,2
먹었었는데,2
ㅠㅅㅠ,2
기다려,2
카스테라,2
귀엽고,2
오오오오,2
힘들,2
녹고,2
좋아하신다면,2
대체로,2
하셨는지,2
작은데,2
맛나,2
미의,2
로만,2
달았어요,2
미친,2
추석,2
체크,2
위스키,2
조화로운,2
애정,2
들어온,2
에서의,2
신기했어요,2
초코우유,2
딱일,2
시크,2
청결,2
깔끔한,2
담요,2
전통,2
쓴맛,2
액체,2
어울려,2
입고,2
배치도,2
새로운,2
행운,2
올려주는,2
진했어요,2
슬러쉬,2
보이지,2
주로,2
찻잎,2
원하는,2
고르,2
조천,2
고르는,2
헤매다,2
하며,2
않을,2
다그,2
찍었다,2
버터쿠키,2
말린,2
꼭꼭,2
티잼,2
담백하게,2
남길,2
들르기,2
다를,2
서쪽,2
이기도,2
특별,2
목표,2
세운,2
들렸던,2
초지,2
휴식,2
간단한,2
스팀밀크,2
텍스쳐,2
수분,2
현상,2
내어,2
쉬어가는,2
다르다,2
방목,2
만족스러웠어요,2
드시는,2
어려움,2
줄평,2
번째,2
나이,2
아일랜드,2
고향이,2
였던,2
어서,2
일텐데,2
되었다고,2
알려진,2
상대,2
주민,2
진행,2
가치,2
고생,2
자유,2
잡설,2
이자,2
성인,2
소망,2
원가,2
자그마한,2
비롯,2
그런거,2
없다는,2
힘들고,2
서양,2
마주,2
공터,2
걸어갔어요,2
느낌이었다,2
이뻐서,2
강했다,2
그래요,2
광고,2
다양해요,2
안남,2
하트,2
우려,2
파시,2
아쉽,2
놀라고,2
마시면서,2
한가롭게,2
솔트,2
강함,2
자부심,2
술술,2
커서,2
추해요,2
개화,2
잎차,2
있는것,2
관계,2
찻잔,2
가져다,2
주십니다,2
풍부한,2
리기,2
만나기,2
상호,2
바램,2
낸다,2
상점,2
브랜드,2
시대,2
살롱,2
당일,2
생일,2
해주고,2
몹시,2
신발,2
스러,2
번잡,2
별장,2
느낄수,2
앤티크,2
두근두근,2
같긴하다,2
있네요,2
길게,2
아기,2
나오면,2
아깝지,2
즐겁게,2
즐거움,2
보고싶었는데,2
더울,2
애매할,2
마시기,2
관광,2
보태,2
이용,2
팔아서,2
소보로빵,2
평범했고,2
하다고,2
부는,2
농장,2
읽다가,2
펼쳐진,2
중턱,2
나옴,2
왔는지,2
수확,2
멋짐,2
집중,2
안됨,2
쾌적하고,2
트렌디,2
최대,2
